 Dimension       Time    Gflop/s       GB/s
        20   0.000760   2.104427  33.670831
        40   0.006143   2.083724  33.339590
        60   0.019945   2.165966  34.655452
        80   0.043903   2.332410  37.318565
       100   0.083444   2.396821  38.349134
       120   0.156096   2.214024  35.424391
       140   0.261442   2.099130  33.586081
       160   0.420197   1.949563  31.193003
       180   0.606354   1.923629  30.778064
       200   0.848934   1.884717  30.155480
       220   1.183932   1.798752  28.780034
       240   1.515191   1.824721  29.195535
       260   1.928392   1.822866  29.165849
       280   2.418166   1.815591  29.049455
       300   2.998850   1.800690  28.811047
