N=100, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=false
     k,      res,      solres
         0,  10.000000,   0.917411
       100,   8.854618,   0.873739
       200,   8.310517,   0.832327
       300,   7.867420,   0.792952
       400,   7.473991,   0.755473
       500,   7.111421,   0.719778
       600,   6.771341,   0.685777
       700,   6.449677,   0.653384
       800,   6.144240,   0.622523
       900,   5.853683,   0.593120
      1000,   5.577048,   0.565105
      1100,   5.313567,   0.538414
      1200,   5.062568,   0.512984
      1300,   4.823442,   0.488755
      1400,   4.595617,   0.465670
      1500,   4.378556,   0.443676
      1600,   4.171748,   0.422720
      1700,   3.974709,   0.402755
      1800,   3.786977,   0.383732
      1900,   3.608112,   0.365608
      2000,   3.437695,   0.348339
      2100,   3.275327,   0.331887
      2200,   3.120627,   0.316211
      2300,   2.973235,   0.301276
      2400,   2.832804,   0.287046
      2500,   2.699006,   0.273489
      2600,   2.571528,   0.260571
      2700,   2.450070,   0.248264
      2800,   2.334349,   0.236538
      2900,   2.224094,   0.225366
      3000,   2.119047,   0.214722
      3100,   2.018961,   0.204580
      3200,   1.923602,   0.194917
      3300,   1.832747,   0.185711
      3400,   1.746183,   0.176940
      3500,   1.663708,   0.168582
      3600,   1.585128,   0.160620
      3700,   1.510260,   0.153034
      3800,   1.438928,   0.145806
      3900,   1.370965,   0.138919
      4000,   1.306212,   0.132358
      4100,   1.244518,   0.126106
      4200,   1.185737,   0.120150
      4300,   1.129733,   0.114475
      4400,   1.076374,   0.109068
      4500,   1.025535,   0.103917
      4600,   0.977097,   0.099009
      4700,   0.930947,   0.094332
      4800,   0.886977,   0.089877
      4900,   0.845084,   0.085632
      5000,   0.805169,   0.081587
      5100,   0.767139,   0.077734
      5200,   0.730906,   0.074062
      5300,   0.696384,   0.070564
      5400,   0.663493,   0.067231
      5500,   0.632155,   0.064056
      5600,   0.602297,   0.061030
      5700,   0.573850,   0.058148
      5800,   0.546746,   0.055401
      5900,   0.520922,   0.052785
      6000,   0.496318,   0.050292
      6100,   0.472876,   0.047916
      6200,   0.450542,   0.045653
      6300,   0.429262,   0.043497
      6400,   0.408987,   0.041442
      6500,   0.389670,   0.039485
      6600,   0.371265,   0.037620
      6700,   0.353730,   0.035843
      6800,   0.337022,   0.034150
      6900,   0.321104,   0.032537
      7000,   0.305938,   0.031001
      7100,   0.291488,   0.029536
      7200,   0.277721,   0.028141
      7300,   0.264603,   0.026812
      7400,   0.252106,   0.025546
      7500,   0.240198,   0.024339
      7600,   0.228853,   0.023190
      7700,   0.218044,   0.022094
      7800,   0.207746,   0.021051
      7900,   0.197934,   0.020056
      8000,   0.188585,   0.019109
      8100,   0.179678,   0.018207
      8200,   0.171191,   0.017347
      8300,   0.163106,   0.016527
      8400,   0.155402,   0.015747
      8500,   0.148062,   0.015003
      8600,   0.141069,   0.014294
      8700,   0.134406,   0.013619
      8800,   0.128058,   0.012976
      8900,   0.122009,   0.012363
      9000,   0.116247,   0.011779
      9100,   0.110756,   0.011223
      9200,   0.105525,   0.010693
      9300,   0.100541,   0.010188
      9400,   0.095792,   0.009707
      9500,   0.091268,   0.009248
      9600,   0.086957,   0.008811
      9700,   0.082850,   0.008395
      9800,   0.078937,   0.007999
      9900,   0.075208,   0.007621
     10000,   0.071656,   0.007261
     10100,   0.068272,   0.006918
     10200,   0.065047,   0.006591
     10300,   0.061975,   0.006280
     10400,   0.059048,   0.005983
     10500,   0.056259,   0.005701
     10600,   0.053602,   0.005431
     10700,   0.051070,   0.005175
     10800,   0.048658,   0.004930
     10900,   0.046360,   0.004698
     11000,   0.044170,   0.004476
     11100,   0.042084,   0.004264
     11200,   0.040096,   0.004063
     11300,   0.038202,   0.003871
     11400,   0.036398,   0.003688
     11500,   0.034679,   0.003514
     11600,   0.033041,   0.003348
     11700,   0.031480,   0.003190
     11800,   0.029993,   0.003039
     11900,   0.028577,   0.002896
     12000,   0.027227,   0.002759
     12100,   0.025941,   0.002629
     12200,   0.024716,   0.002504
     12300,   0.023548,   0.002386
     12400,   0.022436,   0.002273
     12500,   0.021376,   0.002166
     12600,   0.020367,   0.002064
     12700,   0.019405,   0.001966
     12800,   0.018488,   0.001873
     12900,   0.017615,   0.001785
     13000,   0.016783,   0.001701
     13100,   0.015990,   0.001620
     13200,   0.015235,   0.001544
     13300,   0.014516,   0.001471
     13400,   0.013830,   0.001401
     13500,   0.013177,   0.001335
     13600,   0.012554,   0.001272
     13700,   0.011961,   0.001212
     13800,   0.011397,   0.001155
     13900,   0.010858,   0.001100
     14000,   0.010345,   0.001048
     14100,   0.009857,   0.000999
     14200,   0.009391,   0.000952
     14300,   0.008948,   0.000907
     14400,   0.008525,   0.000864
     14500,   0.008122,   0.000823
     14600,   0.007739,   0.000784
     14700,   0.007373,   0.000747
     14800,   0.007025,   0.000712
     14900,   0.006693,   0.000678
     15000,   0.006377,   0.000646
     15100,   0.006076,   0.000616
     15200,   0.005789,   0.000587
     15300,   0.005515,   0.000559
     15400,   0.005255,   0.000532
     15500,   0.005007,   0.000507
     15600,   0.004770,   0.000483
     15700,   0.004545,   0.000461
     15800,   0.004330,   0.000439
     15900,   0.004126,   0.000418
     16000,   0.003931,   0.000398
     16100,   0.003745,   0.000380
     16200,   0.003568,   0.000362
     16300,   0.003400,   0.000345
     16400,   0.003239,   0.000328
     16500,   0.003086,   0.000313
     16600,   0.002940,   0.000298
     16700,   0.002802,   0.000284
     16800,   0.002669,   0.000270
     16900,   0.002543,   0.000258
     17000,   0.002423,   0.000246
     17100,   0.002309,   0.000234
     17200,   0.002200,   0.000223
     17300,   0.002096,   0.000212
     17400,   0.001997,   0.000202
     17500,   0.001902,   0.000193
     17600,   0.001813,   0.000184
     17700,   0.001727,   0.000175
     17800,   0.001645,   0.000167
     17900,   0.001568,   0.000159
     18000,   0.001494,   0.000151
     18100,   0.001423,   0.000144
     18200,   0.001356,   0.000137
     18300,   0.001292,   0.000131
     18400,   0.001231,   0.000125
     18500,   0.001173,   0.000119
     18600,   0.001117,   0.000113
     18700,   0.001065,   0.000108
     18800,   0.001014,   0.000103
     18830,   0.001000,   0.000101
time = 0.080301
