N=100000, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=true
     k,      res,      solres
         0, 316.227766,  28.867658
       100, 316.178955,  28.867655
       200, 316.158028,  28.867652
       300, 316.141975,  28.867649
       400, 316.128444,  28.867646
       500, 316.116524,  28.867643
       600, 316.105747,  28.867640
       700, 316.095837,  28.867638
       800, 316.086613,  28.867635
       900, 316.077949,  28.867632
      1000, 316.069755,  28.867629
      1100, 316.061961,  28.867626
      1200, 316.054514,  28.867623
      1300, 316.047372,  28.867620
      1400, 316.040498,  28.867617
      1500, 316.033867,  28.867614
      1600, 316.027453,  28.867612
      1700, 316.021236,  28.867609
      1800, 316.015199,  28.867606
      1900, 316.009328,  28.867603
      2000, 316.003609,  28.867600
      2100, 315.998032,  28.867597
      2200, 315.992585,  28.867594
      2300, 315.987262,  28.867591
      2400, 315.982052,  28.867589
      2500, 315.976950,  28.867586
      2600, 315.971949,  28.867583
      2700, 315.967043,  28.867580
      2800, 315.962227,  28.867577
      2900, 315.957496,  28.867574
      3000, 315.952847,  28.867571
      3100, 315.948273,  28.867568
      3200, 315.943774,  28.867565
      3300, 315.939343,  28.867563
      3400, 315.934980,  28.867560
      3500, 315.930680,  28.867557
      3600, 315.926441,  28.867554
      3700, 315.922260,  28.867551
      3800, 315.918136,  28.867548
      3900, 315.914065,  28.867545
      4000, 315.910046,  28.867542
      4100, 315.906077,  28.867539
      4200, 315.902156,  28.867537
      4300, 315.898282,  28.867534
      4400, 315.894452,  28.867531
      4500, 315.890665,  28.867528
      4600, 315.886921,  28.867525
      4700, 315.883216,  28.867522
      4800, 315.879551,  28.867519
      4900, 315.875924,  28.867516
      5000, 315.872334,  28.867513
      5100, 315.868779,  28.867511
      5200, 315.865259,  28.867508
      5300, 315.861772,  28.867505
      5400, 315.858319,  28.867502
      5500, 315.854897,  28.867499
      5600, 315.851506,  28.867496
      5700, 315.848145,  28.867493
      5800, 315.844813,  28.867490
      5900, 315.841510,  28.867487
      6000, 315.838235,  28.867485
      6100, 315.834987,  28.867482
      6200, 315.831766,  28.867479
      6300, 315.828570,  28.867476
      6400, 315.825400,  28.867473
      6500, 315.822254,  28.867470
      6600, 315.819132,  28.867467
      6700, 315.816034,  28.867464
      6800, 315.812959,  28.867462
      6900, 315.809906,  28.867459
      7000, 315.806876,  28.867456
      7100, 315.803866,  28.867453
      7200, 315.800878,  28.867450
      7300, 315.797911,  28.867447
      7400, 315.794964,  28.867444
      7500, 315.792037,  28.867441
      7600, 315.789129,  28.867438
      7700, 315.786240,  28.867436
      7800, 315.783370,  28.867433
      7900, 315.780518,  28.867430
      8000, 315.777684,  28.867427
      8100, 315.774868,  28.867424
      8200, 315.772069,  28.867421
      8300, 315.769287,  28.867418
      8400, 315.766521,  28.867415
      8500, 315.763773,  28.867412
      8600, 315.761040,  28.867410
      8700, 315.758323,  28.867407
      8800, 315.755621,  28.867404
      8900, 315.752935,  28.867401
      9000, 315.750264,  28.867398
      9100, 315.747608,  28.867395
      9200, 315.744966,  28.867392
      9300, 315.742339,  28.867389
      9400, 315.739725,  28.867386
      9500, 315.737125,  28.867384
      9600, 315.734540,  28.867381
      9700, 315.731967,  28.867378
      9800, 315.729408,  28.867375
      9900, 315.726861,  28.867372
     10000, 315.724328,  28.867369
     10100, 315.721807,  28.867366
     10200, 315.719298,  28.867363
     10300, 315.716802,  28.867360
     10400, 315.714318,  28.867358
     10500, 315.711846,  28.867355
     10600, 315.709385,  28.867352
     10700, 315.706936,  28.867349
     10800, 315.704499,  28.867346
     10900, 315.702072,  28.867343
     11000, 315.699657,  28.867340
     11100, 315.697253,  28.867337
     11200, 315.694859,  28.867334
     11300, 315.692476,  28.867332
     11400, 315.690104,  28.867329
     11500, 315.687742,  28.867326
     11600, 315.685390,  28.867323
     11700, 315.683048,  28.867320
     11800, 315.680717,  28.867317
     11900, 315.678395,  28.867314
     12000, 315.676082,  28.867311
     12100, 315.673780,  28.867309
     12200, 315.671487,  28.867306
     12300, 315.669203,  28.867303
     12400, 315.666929,  28.867300
     12500, 315.664663,  28.867297
     12600, 315.662407,  28.867294
     12700, 315.660160,  28.867291
     12800, 315.657921,  28.867288
     12900, 315.655691,  28.867285
     13000, 315.653470,  28.867283
     13100, 315.651257,  28.867280
     13200, 315.649053,  28.867277
     13300, 315.646857,  28.867274
     13400, 315.644669,  28.867271
     13500, 315.642489,  28.867268
     13600, 315.640318,  28.867265
     13700, 315.638154,  28.867262
     13800, 315.635998,  28.867259
     13900, 315.633850,  28.867257
     14000, 315.631710,  28.867254
     14100, 315.629577,  28.867251
     14200, 315.627452,  28.867248
     14300, 315.625334,  28.867245
     14400, 315.623224,  28.867242
     14500, 315.621121,  28.867239
     14600, 315.619025,  28.867236
     14700, 315.616937,  28.867233
     14800, 315.614855,  28.867231
     14900, 315.612780,  28.867228
     15000, 315.610713,  28.867225
     15100, 315.608652,  28.867222
     15200, 315.606598,  28.867219
     15300, 315.604551,  28.867216
     15400, 315.602510,  28.867213
     15500, 315.600476,  28.867210
     15600, 315.598449,  28.867207
     15700, 315.596428,  28.867205
     15800, 315.594413,  28.867202
     15900, 315.592405,  28.867199
     16000, 315.590403,  28.867196
     16100, 315.588408,  28.867193
     16200, 315.586418,  28.867190
     16300, 315.584435,  28.867187
     16400, 315.582458,  28.867184
     16500, 315.580486,  28.867181
