     N      ref      u2_0      u2_1     u2_2     u4_0      u4_1      u4_2      error
      4096 0.003664 0.001804 0.001809 0.001789 0.000002 0.000003 0.000003 2.501e-12
     36864 0.030477 0.013085 0.012672 0.012372 0.000016 0.000014 0.000019 1.455e-10
     69632 0.045141 0.021087 0.020790 0.020596 0.000026 0.000021 0.000031 5.384e-10
    102400 0.060783 0.030576 0.030587 0.030300 0.000036 0.000031 0.000046 3.820e-10
    135168 0.082643 0.040910 0.040426 0.040014 0.000045 0.000040 0.000061 2.838e-10
    167936 0.101193 0.052883 0.053686 0.051103 0.000054 0.000050 0.000075 1.528e-10
    200704 0.123081 0.061358 0.061920 0.069933 0.000073 0.000073 0.000107 6.839e-10
    233472 0.147191 0.073289 0.072832 0.074103 0.000076 0.000077 0.000111 5.093e-10
    266240 0.160318 0.082965 0.082664 0.081040 0.000089 0.000084 0.000133 6.839e-10
    299008 0.179820 0.095215 0.095518 0.092681 0.000108 0.000102 0.000153 1.222e-09
    331776 0.204396 0.107989 0.107968 0.105080 0.000119 0.000116 0.000177 1.543e-09
    364544 0.222163 0.120609 0.121422 0.117470 0.000138 0.000139 0.000202 2.328e-09
    397312 0.248328 0.133932 0.134983 0.131068 0.000161 0.000158 0.000247 8.440e-10
    430080 0.265771 0.148392 0.154505 0.143636 0.000176 0.000178 0.000270 1.368e-09
    462848 0.287333 0.160552 0.159897 0.157897 0.000197 0.000205 0.000285 1.673e-09
    495616 0.312777 0.173837 0.188265 0.166789 0.000224 0.000214 0.000329 2.561e-09
    528384 0.333950 0.186799 0.188139 0.179687 0.000241 0.000261 0.000349 7.567e-10
    561152 0.359668 0.200152 0.200899 0.191777 0.000258 0.000267 0.000366 3.201e-09
    593920 0.374667 0.218883 0.214710 0.204928 0.000282 0.000296 0.000402 4.075e-09
    626688 0.398487 0.231637 0.229785 0.216405 0.000302 0.000310 0.000423 2.969e-09
    659456 0.427011 0.241281 0.255000 0.227910 0.000329 0.000321 0.000436 3.987e-09
    692224 0.445719 0.255004 0.254903 0.243873 0.000348 0.000348 0.000478 3.609e-09
    724992 0.466874 0.267993 0.270304 0.257154 0.000378 0.000375 0.000500 7.654e-09
    757760 0.486077 0.282638 0.286691 0.266826 0.000393 0.000401 0.000524 4.133e-09
    790528 0.512617 0.296765 0.314094 0.281402 0.000415 0.000420 0.000541 2.328e-10
    823296 0.534663 0.309988 0.308083 0.295292 0.000436 0.000444 0.000574 4.220e-09
    856064 0.552463 0.322885 0.324116 0.304738 0.000464 0.000459 0.000598 1.106e-08
    888832 0.578142 0.336294 0.334907 0.320990 0.000605 0.000579 0.000729 3.609e-09
    921600 0.603173 0.350983 0.355749 0.327188 0.000502 0.000508 0.000737 2.474e-09
    954368 0.627497 0.358616 0.367034 0.342630 0.000524 0.000529 0.000678 7.567e-09
    987136 0.637187 0.388103 0.375598 0.365474 0.000686 0.000692 0.000839 1.024e-08
   1019904 0.660793 0.393667 0.387779 0.363497 0.000569 0.000570 0.000725 8.848e-09
   1052672 0.685968 0.399794 0.407727 0.376334 0.000594 0.000585 0.000747 6.577e-09
   1085440 0.710529 0.411975 0.434530 0.388230 0.000617 0.000619 0.000777 3.551e-09
   1118208 0.735899 0.425704 0.433511 0.400501 0.000647 0.000655 0.000815 1.327e-08
   1150976 0.760452 0.439154 0.455845 0.414778 0.000659 0.000660 0.000835 1.752e-08
   1183744 0.804878 0.452114 0.460222 0.427450 0.000678 0.000679 0.000846 5.763e-09
   1216512 0.802433 0.466285 0.475546 0.439980 0.000709 0.000702 0.000889 9.080e-09
   1249280 0.819989 0.487016 0.490571 0.452017 0.000724 0.000723 0.000912 7.276e-09
   1282048 0.846934 0.497327 0.498347 0.469935 0.000834 0.000838 0.001024 9.080e-09
   1314816 0.863026 0.510932 0.519894 0.481006 0.000776 0.000780 0.000965 8.557e-09
