  nthreads    npoints     niters       time
         1         20        449     0.0025
         1         40       1676     0.0331
         1         60       3546     0.1653
         1         80       5988     0.4873
         1        100       8957     1.1270
         1        120      12414     2.2312
         1        140      16329     3.9900
         1        160      20678     6.6053
         1        180      25438    10.2360
         1        200      30590    15.2130
         1        220      36117    21.7357
         1        240      42004    29.9005
         2         20        449     0.0023
         2         40       1676     0.0205
         2         60       3546     0.0942
         2         80       5988     0.2716
         2        100       8957     0.6215
         2        120      12414     1.2138
         2        140      16329     2.1606
         2        160      20678     3.6407
         2        180      25438     5.7683
         2        200      30590     8.3466
         2        220      36117    11.7236
         2        240      42004    16.1571
         3         20        449     0.0026
         3         40       1676     0.0188
         3         60       3546     0.0765
         3         80       5988     0.2087
         3        100       8957     0.4769
         3        120      12414     0.9231
         3        140      16329     1.6704
         3        160      20678     2.7221
         3        180      25438     4.2233
         3        200      30590     6.3275
         3        220      36117     9.1280
         3        240      42004    12.5138
         4         20        450     0.0025
         4         40       1676     0.0161
         4         60       3546     0.0649
         4         80       5988     0.1777
         4        100       8957     0.4181
         4        120      12414     0.7807
         4        140      16329     1.4934
         4        160      20678     2.6078
         4        180      25438     3.7187
         4        200      30590     5.2881
         4        220      36117     7.7059
         4        240      42004    10.9588
         5         20        450     0.0028
         5         40       1676     0.0187
         5         60       3546     0.0739
         5         80       5988     0.2044
         5        100       8957     0.4458
         5        120      12414     0.8978
         5        140      16329     1.5528
         5        160      20678     2.5512
         5        180      25438     4.0009
         5        200      30590     5.8317
         5        220      36117     8.4766
         5        240      42004    11.7288
         6         20        451     0.0026
         6         40       1676     0.0168
         6         60       3546     0.0624
         6         80       5988     0.1694
         6        100       8957     0.3913
         6        120      12414     0.7524
         6        140      16329     1.3470
         6        160      20678     2.2265
         6        180      25438     3.4595
         6        200      30590     5.1292
         6        220      36117     7.4079
         6        240      42004    10.0977
         7         20        451     0.0030
         7         40       1676     0.0173
         7         60       3546     0.0730
         7         80       5988     0.1840
         7        100       8957     0.3550
         7        120      12414     0.6932
         7        140      16329     1.2239
         7        160      20678     2.1633
         7        180      25438     3.3368
         7        200      30590     5.2097
         7        220      36117     6.4696
         7        240      42004     8.9267
         8         20        452     0.0033
         8         40       1676     0.0175
         8         60       3546     0.0632
         8         80       5988     0.2078
         8        100       8957     0.3057
         8        120      12414     0.6206
         8        140      16329     1.2194
         8        160      20678     2.0464
         8        180      25438     3.0002
         8        200      30590     4.8255
         8        220      36118     7.1706
         8        240      42004     9.0362
