  nthreads    npoints     niters       time
         1         20        846     0.0059
         1         40       3137     0.0703
         1         60       6601     0.2828
         1         80      11099     0.8263
         1        100      16536     1.9154
         1        120      22837     3.8179
         1        140      29943     6.8465
         1        160      37803    11.3202
         1        180      46374    17.6047
         1        200      50000    23.3306
         1        220      50000    28.5454
         1        240      50000    34.0147
         2         20        846     0.0029
         2         40       3137     0.0322
         2         60       6601     0.1467
         2         80      11099     0.4233
         2        100      16536     0.9796
         2        120      22837     1.9472
         2        140      29943     3.4529
         2        160      37803     5.6752
         2        180      46374     9.0646
         2        200      50000    13.1113
         2        220      50000    15.5472
         2        240      50000    19.2223
         3         20        846     0.0025
         3         40       3137     0.0244
         3         60       6601     0.1071
         3         80      11099     0.3357
         3        100      16536     0.8272
         3        120      22837     1.5856
         3        140      29943     2.8279
         3        160      37803     4.6586
         3        180      46374     7.2281
         3        200      50000     9.7798
         3        220      50000    11.8121
         3        240      50000    13.9779
         4         20        846     0.0026
         4         40       3137     0.0223
         4         60       6601     0.0950
         4         80      11099     0.2794
         4        100      16536     0.6884
         4        120      22837     1.3744
         4        140      29943     2.4698
         4        160      37803     4.1624
         4        180      46374     6.3335
         4        200      50000     8.3916
         4        220      50000    10.3592
         4        240      50000    12.3540
         5         20        846     0.0035
         5         40       3137     0.0314
         5         60       6601     0.1291
         5         80      11099     0.3594
         5        100      16536     0.8107
         5        120      22837     1.5372
         5        140      29943     2.8222
         5        160      37803     4.6016
         5        180      46374     7.1018
         5        200      50000     9.9998
         5        220      50000    11.3181
         5        240      50000    13.6611
         6         20        846     0.0037
         6         40       3137     0.0413
         6         60       6601     0.1118
         6         80      11099     0.3074
         6        100      16536     0.6966
         6        120      22837     1.3894
         6        140      29943     2.6938
         6        160      37803     4.4447
         6        180      46374     6.8774
         6        200      50000     9.0272
         6        220      50000    10.3014
         6        240      50000    12.5366
         7         20        846     0.0034
         7         40       3137     0.0247
         7         60       6601     0.0759
         7         80      11099     0.1983
         7        100      16536     0.4406
         7        120      22837     0.8622
         7        140      29943     1.5857
         7        160      37803     2.7063
         7        180      46374     4.2726
         7        200      50000     5.9163
         7        220      50000     7.8996
         7        240      50000    10.6062
         8         20        846     0.0034
         8         40       3137     0.0219
         8         60       6601     0.0836
         8         80      11099     0.2422
         8        100      16536     0.6302
         8        120      22837     1.1360
         8        140      29943     2.1579
         8        160      37803     3.3319
         8        180      46374     6.2557
         8        200      50000     7.5169
         8        220      50000    12.4146
         8        240      50000    12.0788
